Table 2.4.5. Personal Consumption Expenditures by Type of Product
Table 2.4.5. Personal Consumption Expenditures by Type of Product
"Last Revised on: September 30, 2022"
Line,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
98,"                Postal and delivery services (68)",7.8,8.0,8.5,9.2,9.5,9.6,9.8,9.9,9.9,9.7,9.5,10.1,10.7,11.3,13.0,13.7,15.1,14.3,14.5,13.6,12.7,12.4,12.7,12.5,12.7,12.7,13.1,13.3,14.0,15.5
99,"                Internet access (72)",0.3,0.4,0.8,1.6,2.7,3.6,4.9,7.9,12.0,12.4,14.1,17.1,18.9,19.1,21.5,27.2,32.3,36.1,40.5,45.5,51.3,55.5,61.4,65.2,71.2,72.5,72.0,74.0,76.4,81.5
100,"            Education services",70.8,75.0,79.9,85.5,92.6,99.8,107.4,115.4,125.2,134.4,139.8,149.7,159.1,170.7,183.4,196.6,206.8,216.5,230.5,238.5,241.0,247.2,253.7,262.2,271.6,279.1,287.9,295.6,285.8,293.4
101,"                Higher education (97)",42.3,45.4,48.6,51.9,56.4,61.3,66.0,70.8,76.8,82.9,87.0,95.0,102.5,110.9,119.7,128.3,135.3,144.3,155.0,161.1,163.2,166.8,169.5,173.6,177.9,181.4,184.9,188.5,184.7,185.2
102,"                Nursery, elementary, and secondary schools (98)",16.7,17.3,18.1,19.2,20.1,20.7,21.5,22.8,24.1,25.7,26.9,27.7,28.6,29.6,31.0,32.8,34.2,35.0,35.6,35.9,36.5,37.9,39.2,41.4,44.5,46.3,48.6,50.9,48.9,52.0
103,"                Commercial and vocational schools (99)",11.8,12.3,13.1,14.4,16.2,17.8,19.9,21.8,24.3,25.8,26.0,27.0,28.1,30.3,32.7,35.5,37.4,37.3,39.9,41.5,41.3,42.5,45.0,47.3,49.3,51.4,54.4,56.2,52.2,56.2
104,"            Professional and other services (121)",75.3,78.4,80.9,82.8,87.6,92.8,100.1,107.2,113.0,120.9,126.6,137.1,143.0,148.4,155.3,163.6,166.0,158.9,158.9,163.6,164.3,166.7,172.5,180.2,185.2,193.9,197.1,205.0,208.6,226.4
105,"            Personal care and clothing services (14 and parts of 17 and 118)",47.5,49.7,52.9,57.1,60.2,64.3,69.1,74.2,80.4,83.2,86.5,91.1,97.7,103.3,108.1,111.5,113.8,111.4,115.8,119.6,123.7,128.6,136.3,141.4,147.2,155.7,167.3,175.9,117.1,140.4
106,"            Social services and religious activities (120)",47.5,51.1,54.4,58.1,61.1,64.6,69.3,74.4,81.1,88.4,93.4,98.6,104.1,110.2,116.8,124.6,129.9,133.3,139.0,143.4,148.1,154.0,162.5,171.5,180.2,191.7,202.3,214.0,213.0,232.1
107,"            Household maintenance (parts of 31, 33, and 36)",26.6,28.4,31.3,34.5,35.8,38.9,44.0,45.5,49.2,49.3,49.7,51.9,54.7,56.9,59.2,65.0,67.2,62.3,61.6,64.1,68.0,71.6,77.7,79.4,80.4,82.2,89.6,94.6,94.1,98.5
108,"            Net foreign travel",-21.0,-21.9,-18.9,-23.5,-26.9,-25.2,-20.2,-24.7,-24.6,-15.4,-10.0,-4.0,-3.2,-4.9,0.3,-5.6,-11.1,-9.0,-20.4,-27.3,-31.1,-51.2,-52.1,-58.0,-52.2,-44.2,-32.6,-16.7,-22.1,16.0
109,"                Foreign travel by U.S. residents (129)",45.9,48.7,53.3,54.3,57.8,63.8,67.7,65.7,73.6,72.3,70.9,74.3,83.9,90.1,98.3,103.3,107.9,103.5,111.9,117.0,125.0,122.1,130.5,137.0,143.0,154.8,170.7,184.8,52.1,88.1
110,"                Less: Expenditures in the United States by nonresidents (130)",66.9,70.6,72.2,77.7,84.7,89.0,88.0,90.4,98.2,87.7,80.9,78.2,87.1,95.0,98.0,108.9,119.1,112.6,132.3,144.3,156.1,173.2,182.6,195.0,195.3,198.9,203.2,201.5,74.3,72.2
111,"    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",87.9,90.1,97.8,102.3,110.0,105.6,123.8,138.2,158.0,179.1,198.3,205.5,206.4,210.3,239.2,248.8,287.3,289.2,294.4,311.9,341.5,352.6,365.6,371.6,401.4,414.4,441.5,438.9,503.2,465.5
112,"        Gross output of nonprofit institutions (133)2",396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819.0,868.5,932.2,983.1,1047.4,1088.3,1128.6,1173.5,1236.5,1271.7,1322.4,1383.3,1460.1,1507.2,1584.7,1646.2,1660.6,1748.8
113,"        Less: Receipts from sales of goods and services by nonprofit institutions (134)3",308.5,328.7,342.3,356.2,373.1,397.0,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693.0,734.4,760.1,799.1,834.2,861.7,895.0,919.1,956.8,1011.7,1058.7,1092.8,1143.2,1207.3,1157.4,1283.3

Legend/Footnotes
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the world; includes membership dues and fees."
Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.
